Quarter,GDPC1,Gdpc1_shift,GDP_Diff,Recession_Sign,Recession_start,Second_Quarter,Third_Quarter,Recession_1,recession_end_1,Recession_2,Forth_Quarter,Fifth_Quarter,Sixth_Quarter,Final_Recession
1989Q3,9210.368152355077,,,,0,,,0,1,0,0,0,0,0
1989Q4,9308.636458537505,9210.368152355077,98.2683061824282,1.0,0,0.0,,0,1,0,0,0,0,0
1990Q1,9312.344472162136,9308.636458537505,3.7080136246313486,1.0,0,0.0,0.0,0,1,0,0,0,0,0
1990Q2,9413.638422400738,9312.344472162136,101.29395023860161,1.0,0,0.0,0.0,0,0,0,0,0,0,0
1990Q3,9518.202795935556,9413.638422400738,104.56437353481851,1.0,0,0.0,0.0,0,0,0,0,0,0,0
1990Q4,9539.6041468292,9518.202795935556,21.40135089364412,1.0,0,0.0,0.0,0,0,0,0,0,0,0
1991Q1,9536.411049233846,9539.6041468292,-3.1930975953546294,-1.0,0,0.0,0.0,0,0,0,0,0,0,0
1991Q2,9666.581941281902,9536.411049233846,130.17089204805598,1.0,0,0.0,0.0,0,1,0,0,0,0,0
1991Q3,9715.07355907376,9666.581941281902,48.491617791858516,1.0,0,0.0,0.0,0,1,0,0,0,0,0
1991Q4,9732.858837414096,9715.07355907376,17.785278340335935,1.0,0,0.0,0.0,0,0,0,0,0,0,0
